date,char,roll,dice
2020-04-25 20:51,Faroon,2,na
2020-04-25 20:51,Faroon,5,d20
2020-04-25 20:51,Faroon,1,d20
2020-04-25 20:51,Faroon,20,d20
2020-04-25 20:51,Faroon,9,d20
2020-04-25 20:51,Faroon,2,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,5,1d6+1
2020-04-25 21:12,Faroon,2,d20
2020-04-26 15:32,Sharad Talar,11,d20
2020-04-26 15:32,Sharad Talar,13,d20
2020-04-26 15:35,Faroon,3,d20
2020-04-26 15:35,Faroon,2,na
2020-04-26 15:36,Sharad Talar,7,na
2020-04-26 15:36,Sharad Talar,7,na
2020-04-26 15:36,Sharad Talar,7,na
2020-04-26 15:36,Sharad Talar,7,na
2020-04-26 15:36,Sharad Talar,7,na
2020-04-26 15:41,Faroon,4,1d6+1
2020-04-26 15:42,Tanus,4,na
2020-04-26 15:42,Tanus,4,na
2020-04-26 15:42,Tanus,4,na
2020-04-26 15:42,Tanus,4,na
2020-04-26 16:20,Kalain,12,d20
2020-04-26 16:20,Kalain,12,d20
2020-04-26 16:24,Kalain,20,d20
2020-04-26 16:33,Sharad Talar,11,d20
2020-04-26 16:38,Kalain,8,d20
2020-04-26 16:54,Sharad Talar,20,d20
2020-04-26 16:54,Sharad Talar,20,d20
2020-04-26 17:00,Tanus,16,d20
2020-04-26 17:00,Tanus,16,d20
2020-04-26 17:04,Kalain,5,na
2020-04-26 17:07,Tanus,15,d20
2020-04-26 17:07,Tanus,15,d20
2020-04-26 17:39,Sharad Talar,5,d20
2020-04-26 17:41,Kalain,1,d20
2020-04-26 17:41,Kalain,11,d20
2020-04-26 18:07,Tanus,14,d20
2020-04-26 18:07,Tanus,14,d20
2020-04-26 18:07,Tanus,14,d20
2020-04-26 18:07,Tanus,14,d20
2020-04-26 18:07,Sharad Talar,10,d20
2020-05-01 15:04,Kalain,14,d20
2020-05-01 15:11,Faroon,7,d20
2020-05-01 15:20,Sharad Talar,1,d20
2020-05-01 15:20,Faroon,2,d20
2020-05-01 15:20,Tanus,19,d20
2020-05-01 15:20,Caris,3,d20
2020-05-01 15:20,Kalain,6,d20
2020-05-01 15:26,Tanus,11,d20
2020-05-01 15:27,Faroon,4,d20
2020-05-01 15:27,Caris,2,d20
2020-05-01 15:29,Sharad Talar,15,d20
2020-05-01 15:35,Caris,5,d20
2020-05-01 15:35,Caris,5,d20
2020-05-01 15:35,Caris,5,d20
2020-05-01 15:47,Sharad Talar,5,d20
2020-05-01 15:47,Sharad Talar,5,d20
2020-05-01 15:56,Tanus,5,d20
2020-05-01 15:58,Kalain,5,d20
2020-05-01 16:02,Caris,5,d20
2020-05-01 16:05,Faroon,10,d20
2020-05-01 16:05,Faroon,4,1d6+1
2020-05-01 16:07,Sharad Talar,6,1d6+1
2020-05-01 16:07,Kalain,2,1d6+1
2020-05-01 16:08,Tanus,3,1d6+1
2020-05-01 16:11,Sharad Talar,5,d20
2020-05-01 16:19,Faroon,7,na
2020-05-01 16:19,Faroon,7,na
2020-05-01 16:23,Sharad Talar,19,d20
2020-05-01 16:39,Caris,19,d20
2020-05-01 16:39,Caris,11,d20
2020-05-01 16:45,Faroon,7,d20
2020-05-01 16:45,Faroon,4,d20
2020-05-01 16:58,Caris,5,1d6+1
2020-05-15 21:43,Tanus,17,d20
2020-05-15 21:47,Kalain,11,d20
2020-05-15 21:47,Kalain,17,d20
2020-05-15 22:10,Tanus,2,d20
2020-05-15 22:10,Faroon,8,d20
2020-05-15 22:10,Caris,10,d20
2020-05-15 22:10,Kalain,9,d20
2020-05-15 22:20,Caris,3,d20
2020-05-15 22:28,Faroon,3,d20
2020-05-15 22:31,Caris,4,d20
2020-05-15 22:31,Caris,3,d20
2020-05-15 22:35,Tanus,7,d20
2020-05-15 22:35,Kalain,3,d20
2020-05-15 22:35,Caris,3,d20
2020-05-15 22:36,Tanus,3,d20
2020-05-15 22:40,Kalain,1,d20
2020-05-15 22:41,Faroon,3,d20
2020-05-15 22:45,Tanus,3,d20
2020-05-15 22:47,Caris,3,d20
2020-05-15 22:47,Caris,3,d20
2020-05-15 22:47,Caris,3,d20
2020-05-15 22:47,Caris,4,d20
2020-05-15 22:47,Caris,3,d20
2020-05-15 22:56,Faroon,3,d20
2020-05-15 22:59,Caris,3,d20
2020-05-15 22:59,Caris,3,d20
2020-05-15 22:59,Caris,3,d20
2020-05-15 23:07,Faroon,5,1d6+1
2020-05-15 23:07,Tanus,2,1d6+1
2020-05-15 23:07,Caris,2,1d6+1
2020-05-15 23:08,Kalain,6,1d6+1
2020-05-15 23:10,Faroon,3,d20
2020-05-15 23:13,Tanus,4,d20
2020-05-15 23:30,Kalain,18,d20
2020-05-15 23:48,Caris,10,d20
2020-05-15 23:51,Faroon,4,d20
2020-05-15 23:51,Faroon,4,d20
2020-05-15 23:58,Kalain,5,d20
2020-05-15 23:58,Kalain,7,d20
2020-05-15 23:58,Kalain,5,d20
2020-05-15 23:58,Kalain,18,d20
2020-05-15 23:58,Kalain,12,d20
2020-05-15 23:58,Kalain,5,d20
2020-05-16 00:01,Kalain,13,d20
2020-05-16 00:01,Kalain,12,d20
2020-05-22 21:45,Faroon,4,d20
2020-05-22 21:45,Faroon,4,d20
2020-05-22 21:45,Faroon,14,d20
2020-05-22 21:50,Tanus,10,d20
2020-05-22 21:50,Kalain,17,d20
2020-05-22 21:51,Caris,17,d20
2020-05-22 21:59,Faroon,16,d20
2020-05-22 21:59,Faroon,5,d20
2020-05-22 21:59,Faroon,5,d20
2020-05-22 21:59,Kalain,2,d20
2020-05-22 22:06,Tanus,2,d20
2020-05-22 22:17,Kalain,19,d20
2020-05-22 22:33,Kalain,5,d20
2020-05-22 22:37,Tanus,4,d20
2020-05-22 22:42,Kalain,16,d20
2020-05-22 22:45,Caris,13,d20
2020-05-22 22:52,Kalain,5,d20
2020-05-22 22:53,Tanus,6,d20
2020-05-22 22:53,Kalain,5,d20
2020-05-22 22:53,Faroon,5,d20
2020-05-22 22:53,Caris,1,d20
2020-05-22 22:53,Kalain,5,d20
2020-05-22 23:01,Kalain,5,d20
2020-05-22 23:01,Kalain,5,d20
2020-05-22 23:06,Faroon,5,d20
2020-05-22 23:06,Faroon,5,d20
2020-05-22 23:08,Caris,5,d20
2020-05-22 23:09,Kalain,5,d20
2020-05-22 23:09,Caris,5,d20
2020-05-22 23:12,Faroon,5,d20
2020-05-22 23:36,Kalain,4,1d6+1
2020-05-22 23:36,Tanus,4,1d6+1
2020-05-22 23:36,Faroon,6,1d6+1
2020-05-22 23:39,Caris,7,1d6+1
2020-05-22 23:46,Tanus,4,1d6+1
2020-05-22 23:46,Caris,2,1d6+1
2020-05-22 23:46,Tanus,7,1d6+1
2020-05-22 23:46,Tanus,5,1d6+1
2020-05-22 23:48,Caris,4,1d6+1
2020-05-22 23:48,Caris,5,1d6+1
2020-05-22 23:48,Caris,5,1d6+1
2020-05-22 23:48,Faroon,1,d20
2020-05-22 23:48,Faroon,11,d20
2020-05-30 16:12,Caris,15,d20
2020-05-30 16:12,Caris,1,d20
2020-05-30 16:12,Caris,6,1d6+1
2020-05-30 16:12,Caris,6,1d6+1
2020-05-30 16:40,Tanus,6,na
2020-05-30 16:48,Faroon,3,d20
2020-05-30 16:49,Caris,18,d20
2020-05-30 16:51,Kalain,6,d20
2020-05-30 16:53,Tanus,3,d20
2020-05-30 16:53,Faroon,16,d20
2020-05-30 16:54,Tanus,14,d20
2020-05-30 16:54,Kalain,6,d20
2020-05-30 16:55,Caris,17,d20
2020-05-30 16:57,Faroon,5,d20
2020-05-30 17:02,Caris,7,d20
2020-05-30 17:02,Caris,12,d20
2020-05-30 17:02,Caris,15,d20
2020-05-30 17:02,Caris,15,d20
2020-05-30 17:02,Caris,8,d20
2020-05-30 17:02,Caris,12,d20
2020-05-30 17:19,Tanus,4,na
2020-05-30 17:23,Caris,3,d20
2020-05-30 17:23,Caris,16,d20
2020-05-30 17:23,Caris,10,d20
2020-05-30 17:27,Faroon,17,d20
2020-05-30 17:31,Kalain,14,d20
2020-05-30 17:35,Caris,9,d20
2020-05-30 17:35,Caris,3,d20
2020-05-30 17:35,Caris,5,d20
2020-05-30 17:35,Caris,9,d20
2020-05-30 17:39,Faroon,12,d20
2020-05-30 17:40,Kalain,2,d20
2020-05-30 17:40,Kalain,10,d20
2020-05-30 17:45,Caris,6,d20
2020-05-30 17:53,Faroon,7,1d6+1
2020-05-30 17:53,Caris,4,1d6+1
2020-06-06 15:12,Tanus,19,d20
2020-06-06 15:25,Caris,7,d20
2020-06-06 15:29,Tanus,15,d20
2020-06-06 15:29,Tanus,7,d20
2020-06-06 15:39,Kalain,11,d20
2020-06-06 15:39,Caris,1,d20
2020-06-06 15:39,Faroon,4,d20
2020-06-06 15:42,Tanus,5,d20
2020-06-06 15:46,Kalain,6,na
2020-06-06 15:49,Tanus,5,d20
2020-06-06 15:49,Tanus,5,d20
2020-06-06 15:49,Tanus,5,d20
2020-06-06 15:49,Tanus,2,d20
2020-06-06 15:59,Caris,5,d20
2020-06-06 15:59,Caris,5,d20
2020-06-06 16:08,Kalain,5,d20
2020-06-06 16:08,Kalain,5,d20
2020-06-06 16:10,Faroon,17,d20
2020-06-06 16:14,Kalain,5,d20
2020-06-06 16:22,Caris,10,d20
2020-06-06 16:22,Caris,10,d20
2020-06-06 16:26,Tanus,5,d20
2020-06-06 16:28,Faroon,2,d20
2020-06-06 16:28,Faroon,18,d20
2020-06-06 16:28,Faroon,5,d20
2020-06-06 16:28,Faroon,18,d20
2020-06-06 16:43,Tanus,4,1d6+1
2020-06-06 16:43,Faroon,4,1d6+1
2020-06-06 16:44,Tanus,5,1d6+1
2020-06-06 16:44,Caris,3,1d6+1
2020-06-06 16:44,Caris,2,1d6+1
2020-06-06 16:46,Kalain,4,1d6+1
2020-06-06 16:46,Kalain,7,1d6+1
2020-06-06 17:33,Kalain,5,1d6+1
2020-06-06 17:37,Faroon,2,d20
2020-06-06 17:37,Faroon,2,d20
2020-06-06 17:37,Faroon,2,d20
2020-06-23 21:24,Caris,2,1d6+1
2020-06-23 21:24,Kalain,2,1d6+1
2020-06-23 21:24,Tanus,2,1d6+1
2020-06-23 21:24,Caris,5,1d6+1
2020-06-23 21:24,Tanus,2,1d6+1
2020-06-23 21:30,Faroon,4,na
2020-06-23 21:52,Caris,14,d20
2020-06-23 22:00,Tanus,10,d20
2020-06-23 22:00,Faroon,16,d20
2020-06-23 22:00,Caris,5,d20
2020-06-23 22:03,Faroon,2,d20
2020-06-23 22:03,Faroon,11,d20
2020-06-23 22:05,Tanus,8,d20
2020-06-23 22:06,Faroon,9,d20
2020-06-23 22:06,Tanus,2,d20
2020-06-23 22:09,Caris,4,d20
2020-06-23 22:09,Caris,4,d20
2020-06-23 22:12,Faroon,17,d20
2020-06-23 22:14,Kalain,2,d20
2020-06-23 22:14,Kalain,6,d20
2020-06-23 22:14,Kalain,17,d20
2020-06-23 22:20,Caris,4,d20
2020-06-23 22:20,Caris,4,d20
2020-06-23 22:20,Caris,4,d20
2020-06-23 22:20,Caris,4,d20
2020-06-23 22:24,Kalain,4,d20
2020-06-23 22:25,Faroon,4,d20
2020-06-23 22:25,Faroon,4,d20
2020-06-23 22:25,Faroon,2,1d6+1
2020-06-23 22:27,Caris,3,1d6+1
2020-06-23 22:27,Faroon,5,1d6+2
2020-06-23 22:28,Caris,7,1d6+1
2020-06-23 22:29,Tanus,6,1d6+2
2020-06-23 22:29,Caris,5,1d6+1
2020-06-23 22:30,Kalain,7,1d6+1
2020-06-23 22:45,Tanus,8,d20
2020-06-23 22:45,Tanus,8,d20
2020-06-23 22:45,Tanus,8,d20
2020-06-23 23:02,Faroon,4,d20
2020-06-23 23:06,Caris,4,d20
2020-06-23 23:06,Caris,4,d20
2020-06-23 23:13,Tanus,15,d20
2020-06-23 23:14,Faroon,16,d20
2020-06-23 23:16,Kalain,14,d20
2020-06-23 23:16,Kalain,18,d20
2020-06-23 23:20,Faroon,5,d20
2020-06-23 23:22,Caris,4,d20
2020-06-23 23:24,Faroon,5,d20
2020-06-23 23:24,Faroon,6,d20
2020-06-23 23:24,Faroon,6,d20
2020-06-23 23:24,Faroon,6,d20
2020-07-07 21:11,Tanus,10,d20
2020-07-07 21:11,Kalain,10,d20
2020-07-07 21:11,Faroon,6,d20
2020-07-07 21:11,Caris,16,d20
2020-07-07 21:11,Caris,6,d20
2020-07-07 21:11,Caris,6,d20
2020-07-07 21:22,Faroon,7,na
2020-07-07 21:30,Kalain,6,d20
2020-07-07 21:30,Kalain,6,d20
2020-07-07 21:30,Kalain,6,d20
2020-07-07 21:38,Faroon,8,d20
2020-07-07 21:45,Tanus,4,d20
2020-07-07 21:46,Faroon,7,d20
2020-07-07 22:09,Kalain,3,d20
2020-07-07 22:10,Tanus,4,d20
2020-07-07 22:10,Caris,17,d20
2020-07-07 22:22,Caris,12,d20
2020-07-07 22:22,Caris,5,d20
2020-07-07 22:26,Tanus,9,d20
2020-07-07 22:31,Tanus,4,d20
2020-07-07 22:31,Tanus,17,d20
2020-07-07 22:35,Faroon,4,d20
2020-07-07 22:36,Kalain,16,d20
2020-07-07 22:36,Kalain,17,d20
2020-07-07 22:42,Faroon,4,d20
2020-07-07 22:42,Kalain,3,d20
2020-07-07 22:43,Caris,3,d20
2020-07-07 22:43,Tanus,3,d20
2020-07-07 22:45,Tanus,4,d20
2020-07-07 22:45,Tanus,4,d20
2020-07-07 22:50,Tanus,4,d20
2020-07-07 22:52,Kalain,3,d20
2020-07-07 23:01,Faroon,16,d20
2020-07-07 23:21,Tanus,1,d20
2020-07-07 23:28,Faroon,4,d20
2020-07-07 23:28,Tanus,4,d20
2020-07-07 23:28,Kalain,4,d20
2020-07-07 23:29,Faroon,4,d20
2020-07-07 23:29,Kalain,4,d20
2020-07-07 23:29,Caris,4,d20
2020-07-07 23:30,Faroon,4,d20
2020-07-07 23:30,Faroon,4,d20
2020-07-07 23:46,Kalain,2,1d6+1
2020-07-07 23:47,Faroon,7,1d6+2
2020-07-07 23:47,Faroon,5,1d6+2
2020-07-07 23:47,Caris,5,1d6+1
2020-07-07 23:47,Faroon,7,1d6+2
2020-07-07 23:47,Tanus,8,1d6+2
2020-07-07 23:47,Caris,6,1d6+1
2020-07-07 23:47,Tanus,7,1d6+2
2020-07-07 23:48,Caris,7,1d6+1
2020-07-07 23:48,Kalain,2,1d6+1
2020-07-07 23:49,Kalain,5,1d6+1
2020-07-07 23:50,Caris,6,1d6+1
2020-07-07 23:50,Caris,6,1d6+1
2020-07-13 22:40,Tanus,19,d20
2020-07-13 22:52,Faroon,1,d20
2020-07-13 22:52,Faroon,13,d20
2020-07-13 22:52,Faroon,10,d20
2020-07-13 22:52,Faroon,13,d20
2020-07-13 22:52,Faroon,7,d20
2020-07-13 23:23,Tanus,4,d20
2020-07-13 23:23,Tanus,4,d20
2020-07-13 23:39,Tanus,7,1d6+2
2020-07-13 23:39,Faroon,5,1d6+2
2020-07-22 21:49,Caris,6,d20
2020-07-22 21:51,Faroon,6,d20
